"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","morphospeciesIDRemarks","taxonIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","missingRecords100m2QF","duplicateTaxonIDPerBout100m2QF"
"595CDF7110A04375B2E07F27546580E2","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","PIPA2","Pinus palustris Mill.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"75F1635F596E414CAA611B6847976DA6","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","DEFL3","Desmodium floridanum Chapm.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"3DD4BBA2D85A4D09912B1084C32BEAE2","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","QUVI","Quercus virginiana Mill.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"EC4B2031B1C649EA8AA535C8A373EBA8","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","SCIN2","Scutellaria integrifolia L.","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"6B3DFD1B8BC1493695360E120DB17AB0","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","HYHY","Hypericum hypericoides (L.) Crantz","species","cf. species",,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"7539D9AFA5B34BFB84FA236A7AD456DC","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","HIGR3","Hieracium gronovii L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"7C830B5A427641BA8A98AAC2A7358484","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","RHHA","Rhynchospora harveyi W. Boott","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"8F55484039E1427EB0B8B9AA1C97A877","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","STBI2","Stylosanthes biflora (L.) Britton, Sterns & Poggenb.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"C7C04D2F2E314945A8DC02925879AAC8","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
"8A151738102B4F60A7CF02BDC4BE0B7E","D03","OSBS",,"31",29.703818,-81.956872,"WGS84",2.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","CLMA4","Clitoria mariana L.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0,0
