"uid","domainID","siteID","plotID","subplotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","date","boutNumber","eventID","targetTaxaPresent","taxonID","scientificName","taxonRank","identificationQualifier","morphospeciesID","samplingProtocol","identificationReferences","measuredBy","recordedBy","taxonIDRemarks","morphospeciesIDRemarks","remarks","missingRecords1m2QF","missingRecords10m2QF","duplicateTaxonIDPerBout10m2QF"
"F2147E9865A2496BB9DD114A5288BE50","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","DISP2","Dichanthelium sphaerocarpon (Elliott) Gould","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"064D6D6B3BF74999A34CA37AEA3FA85B","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","HYWR3","Hypoxis wrightii (Baker) Brackett","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"EB7EEC45977C425CB23C047D41771B8B","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","LIPA8","Liatris pauciflora Pursh","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"C491F68E1A4443C1A574393F741E5E22","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","PIGR4","Pityopsis graminifolia (Michx.) Nutt.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"818C10568D7D4E87A88C029A62C4FEFD","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","ARBE7","Aristida beyrichiana Trin. & Rupr.","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"FAD5B27740A142AAAAB3792969B4A326","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","STPAA","Stylisma patens (Desr.) Myint ssp. angustifolia (Nash) Myint","subspecies",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"E88319CDABBC4FC7A5D54A3BC7995CD6","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","QULA2","Quercus laevis Walter","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"140C9FED7D8E401AA0A3C6DFBA12E21D","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","ERAR13","Eryngium aromaticum Baldw.","species",,,"NEON.DOC.014042","Lucas Majure FL","qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"A4AB7B9952CD4432B90DB025A2DFE5A8","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","DIDI6","Dichanthelium dichotomum (L.) Gould","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
"E75E9A81418A4F20B1CB233BA73ECB1E","D03","OSBS",,"31.1.10",29.703787,-81.956908,"WGS84",1.2,"2013-07-01",1,"DIV.OSBS.2013.1","Y","LIMI5","Licania michauxii Prance","species",,,"NEON.DOC.014042",,"qwd4SsQjkwojVAYuvLRi2I6c493EEc9K","6FdE+Uj2AbmtocNLrE61Efb6QfVsaKH3",,,,0,0,0
